Player Name,Salary,Position,Age,GP,MP,GS,FG,FG%,2PA,2P%,AST,AST%
Josh Giddey,6.2874,PF,20,76,31.1,76,7.1,0.482,11.6,0.524,6.2,29.9
Rui Hachimura,6.263188,PF,24,63,23.3,9,4.5,0.486,6.7,0.55,0.9,5.8
Rudy Gay,6.1845,PF,36,56,14.6,0,1.9,0.38,2.8,0.484,1,9.4
Jevon Carter,6.025,PG,27,81,22.3,39,3,0.423,2.8,0.425,2.4,14.5
Shaedon Sharpe,6.01296,SG,19,80,22.2,15,3.8,0.472,4.6,0.559,1.2,7.9
Cameron Payne,6,PG,28,48,20.2,15,3.9,0.415,5.6,0.448,4.5,32.6
Justin Holiday,5.987975,SF,33,46,15.3,2,1.7,0.377,1.3,0.508,0.9,7.5
Cam Reddish,5.954454,SF,23,40,24.8,20,3.5,0.446,4.2,0.56,1.4,8.1
Cameron Johnson,5.887899,PF,26,42,28.5,41,5.3,0.47,5.2,0.548,1.9,9.6
Ricky Rubio,5.853659,PG,32,33,17.2,2,1.8,0.343,2.9,0.417,3.5,27.1
Killian Hayes,5.83776,PG,21,76,28.3,56,4,0.377,7,0.429,6.2,32.3
Jonathan Kuminga,5.73984,PF,20,67,20.8,16,3.9,0.525,5.2,0.59,1.9,12.7
Pat Connaughton,5.728393,SF,30,61,23.7,33,2.7,0.392,1.6,0.566,1.3,6.9
Tyler Herro,5.722116,SG,23,67,34.9,67,7.3,0.439,8.5,0.497,4.2,19.9
Romeo Langford,5.634257,SG,23,43,19.6,21,2.8,0.467,4.6,0.53,1.2,7.9
Dyson Daniels,5.5086,PG,19,59,17.7,11,1.5,0.418,2.1,0.492,2.3,16.4
JaVale McGee,5.461219,C,35,42,8.5,7,1.9,0.64,2.9,0.65,0.3,5.2
Goga Bitadze,5.37752,C,23,38,12,1,1.8,0.552,2.6,0.636,1,12.1
Obi Toppin,5.34828,PF,24,67,15.7,5,2.8,0.446,2.6,0.593,1,9.2
